"Longitude"	"Latitude"	"Collector"	"Collection.Number"	"Genus"	"Species"	"Country"	"StateProvince"	"MinimumElevation"	"MaximumElevation"	"REPOSITORIO"	"SP"
"-54.743479"	"4.268374"	"J. C. Lindeman"	"175"	"Protium"	"aracouchini"	"Suriname"		550	710	220947	"P. aracouchini"
"-77.5"	"-0.7"	"E. Freire"	"177"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	870	"NA"	220947	"P. aracouchini"
"-65.73333333"	"3.733333333"	"R. L. Liesner"	"17914"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	210	280	220947	"P. aracouchini"
"-60.3529429"	"-2.6996631"	"G. T. Prance"	"18038"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-73.73"	"2.27"	"O. Marulanda"	"1835"	"Protium"	"aracouchini"	"Colombia"	"Guaviare"	300	"NA"	220947	"P. aracouchini"
"-59.35"	"-10.2"	"G. T. Prance"	"18356"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-53.6"	"5.47"	"Collector unspecified"	"1838"	"Protium"	"aracouchini"	"French Guiana"	"Cayenne"	"NA"	"NA"	220947	"P. aracouchini"
"-39.13"	"-16.38"	"A. Euponino"	"186"	"Protium"	"calanense"	"Brazil"	"Bahia"	40	40	220947	"P. calanense"
"-58.78"	"-10.37"	"V. C. Souza"	"18681"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-73.37"	"-4.17"	"C. Gr?ndez"	"1897"	"Protium"	"aracouchini"	"Peru"	"Loreto"	130	130	220947	"P. aracouchini"
"-59.4592"	"-10.1669"	"M. dos Reis Cordeiro"	"191"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-53.2"	"3.63"	"S. A. Mori"	"19168"	"Protium"	"aracouchini"	"French Guiana"		400	400	220947	"P. aracouchini"
"-53.6"	"5.47"	"Collector unspecified"	"1950"	"Protium"	"aracouchini"	"French Guiana"	"Cayenne"	"NA"	"NA"	220947	"P. aracouchini"
"-65.5843395"	"-10.537275"	"G. Meyer"	"2"	"Protium"	"aracouchini"	"Bolivia"	"Beni"	"NA"	"NA"	220947	"P. aracouchini"
"-39.115"	"-14.4997"	"P. Fiaschi"	"2049"	"Protium"	"calanense"	"Brazil"	"Bahia"	380	380	220947	"P. calanense"
"-59.74583"	"-2.41625"	"S. A. Mori"	"20543"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	50	125	220947	"P. aracouchini"
"-39.115"	"-14.4997"	"P. Fiaschi"	"2058"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	380	380	220947	"P. aracouchini"
"-58.5976589"	"-8.9756139"	"N. A. Rosa"	"2062"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-73.67"	"-4.92"	"A. Smith"	"21355"	"Protium"	"aracouchini"	"Peru"	"Loreto"	"NA"	"NA"	220947	"P. aracouchini"
"-60.0291681"	"-1.9809959"	"G. T. Prance"	"21637"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-60.0291681"	"-1.9809959"	"G. T. Prance"	"21637"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-57.1288204"	"-1.0038673"	"L. S. Co?lho"	"217"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-67.0579264"	"1.9218151"	"R. Spruce"	"2179"	"Protium"	"aracouchini"	"Venezuela"		"NA"	"NA"	220947	"P. aracouchini"
"-67.0579264"	"1.9218151"	"R. Spruce"	"2179"	"Protium"	"aracouchini"	"Venezuela"		"NA"	"NA"	220947	"P. aracouchini"
"-59.9281883"	"-2.9548699"	"G. T. Prance"	"2190"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9281883"	"-2.9548699"	"G. T. Prance"	"2190"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9281883"	"-2.9548699"	"P. A. C. L. Assun??o"	"22"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
